id,name,year,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
676044,"Seymour, Bob",2024,145,0.900621118,95,74.25815359,0.4413793103,0.2736842105,0.1793103448,0.1263157895,0.08275862069,7.53438869,3,-4.766456366,50,0.3448275862,41,0.2827586207
663853,"Gonzalez, Romy",2024,604,0.9041916168,434,74.23600944,0.4437086093,0.3778801843,0.2715231788,0.2534562212,0.1821192053,6.769035414,9,1.91250787,170,0.2814569536,228,0.3774834437
671284,"Elko, Tim",2024,128,0.9014084507,92,74.19213023,0.453125,0.2391304348,0.171875,0.1739130435,0.125,7.922909453,4,-5.41657283,36,0.28125,37,0.2890625
547180,"Harper, Bryce",2024,1072,0.9031171019,760,74.16569488,0.4375,0.3,0.2126865672,0.1789473684,0.1268656716,7.333621922,16,-10.92539338,312,0.2910447761,360,0.3358208955
677800,"Abreu, Wilyer",2024,755,0.9074519231,595,74.13317804,0.4132450331,0.2739495798,0.2158940397,0.1680672269,0.1324503311,7.116110437,15,-6.438232346,160,0.2119205298,267,0.3536423841
691785,"Mayer, Marcelo",2024,228,0.8976377953,170,74.12197013,0.4035087719,0.2823529412,0.2105263158,0.1647058824,0.1228070175,7.84164557,6,-8.22786993,58,0.2543859649,76,0.3333333333
572233,"Walker, Christian",2024,1164,0.901626646,847,74.11109023,0.4183848797,0.2892561983,0.2104810997,0.1641086187,0.1194158076,7.476153591,55,-24.73568492,317,0.2723367698,383,0.3290378007
677592,"Pereira, Everson",2024,127,0.8943661972,73,74.10116945,0.3385826772,0.3150684932,0.1811023622,0.1369863014,0.07874015748,8.073422283,10,-8.232817341,54,0.4251968504,36,0.2834645669
642215,"Wilson, Weston",2024,205,0.907079646,142,74.06944263,0.4195121951,0.2816901408,0.1951219512,0.1267605634,0.08780487805,7.765558683,2,-8.885884936,63,0.3073170732,68,0.3317073171
691176,"Domínguez, Jasson",2024,771,0.9113475177,568,74.06308126,0.3852140078,0.2904929577,0.2140077821,0.1742957746,0.1284046693,7.793729909,7,-12.76740011,203,0.2632944228,255,0.3307392996
663898,"Rodgers, Brendan",2024,203,0.8982300885,128,74.05131325,0.4039408867,0.3046875,0.1921182266,0.1875,0.118226601,7.31367931,3,-5.093425213,75,0.3694581281,64,0.315270936
545361,"Trout, Mike",2024,857,0.9021052632,617,74.04996824,0.4014002334,0.2739059968,0.1971995333,0.1636952998,0.1178529755,7.462248705,25,-13.70174347,240,0.2800466744,262,0.3057176196
641857,"McMahon, Ryan",2024,1033,0.9053461876,696,74.02965734,0.3978702807,0.3132183908,0.211035818,0.1724137931,0.1161665053,7.434878654,28,-35.88126491,337,0.3262342691,309,0.2991287512
676724,"Young, Jared",2024,80,0.8988764045,55,74.0180245,0.35,0.2363636364,0.1625,0.1454545455,0.1,7.320869125,3,-1.558362146,25,0.3125,27,0.3375
624585,"Soler, Jorge",2024,517,0.9070175439,377,74.01752164,0.4119922631,0.2917771883,0.2127659574,0.1644562334,0.1199226306,7.725893617,8,-8.230381298,140,0.2707930368,184,0.3558994197
671218,"Ramos, Heliot",2024,1122,0.9048387097,855,74.00332796,0.4465240642,0.3274853801,0.2495543672,0.1824561404,0.1390374332,6.83663451,24,-29.49752394,267,0.2379679144,430,0.3832442068
624424,"Conforto, Michael",2024,828,0.9149171271,636,73.98239271,0.4299516908,0.2735849057,0.2101449275,0.141509434,0.1086956522,7.308765012,7,-34.11847361,192,0.231884058,283,0.3417874396
682626,"Alvarez, Francisco",2024,449,0.9070707071,305,73.97498031,0.4075723831,0.3770491803,0.2561247216,0.2196721311,0.14922049,7.236954031,11,-4.378946385,144,0.3207126949,161,0.3585746102
665487,"Tatis Jr., Fernando",2024,1058,0.9050470488,787,73.96984787,0.427221172,0.3684879288,0.2741020794,0.2160101652,0.1606805293,7.289498355,32,-21.37502273,271,0.2561436673,423,0.3998109641
691016,"Soderstrom, Tyler",2024,961,0.9100378788,732,73.96203377,0.3808532778,0.3306010929,0.2518210198,0.2090163934,0.1592091571,7.4820018,27,-11.17018185,229,0.2382934443,377,0.3922996878
641933,"O'Neill, Tyler",2024,344,0.9005235602,235,73.95295956,0.3459302326,0.3191489362,0.2180232558,0.1617021277,0.1104651163,7.711458517,5,-18.32452353,109,0.3168604651,124,0.3604651163
680779,"Davis, Henry",2024,514,0.9001751313,373,73.94850282,0.3929961089,0.2654155496,0.1926070039,0.1420911528,0.1031128405,7.335859455,8,-29.43016716,141,0.2743190661,170,0.3307392996
621566,"Olson, Matt",2024,1256,0.9088277858,940,73.94386164,0.4132165605,0.2925531915,0.2189490446,0.1808510638,0.1353503185,7.47358371,21,-9.389677303,316,0.2515923567,406,0.3232484076
